outcome_row_id,school_name_raw,campus_name_raw_x,dept_name_raw,dept_name_std,major_group_7,match_status,match_method,unmatched_reason,row_qa_status,review_needed,headcount_match_flag,campus_conflict_flag,major7_mapping_method,major7_mapping_confidence,major7_review_needed,graduates_n,enrolled_students_n,applicants_n,a_rate_pct,cd_rate_pct,f_rate_pct,selectivity_proxy_pct,health_employment_rate_pct,graduate_school_progression_rate_pct,employment_rate_pct,progression_rate_pct,drop_structure_unresolved,drop_campus_conflict,drop_major7_unresolved,drop_d08_key_duplicate,drop_normalized_name_duplicate,drop_core_identity_missing,target_extreme_small_denom__a_rate_pct,target_extreme_small_denom__cd_rate_pct,target_extreme_small_denom__f_rate_pct,target_extreme_small_denom__selectivity_proxy_pct,target_extreme_small_denom__health_employment_rate_pct,target_extreme_small_denom__graduate_school_progression_rate_pct,target_extreme_small_denom__employment_rate_pct,target_extreme_small_denom__progression_rate_pct,drop_rate_extreme_small_denominator,strict_drop,strict_keep,drop_reasons,rate_extreme_targets
OC2024_00051,가천대학교,,설비·소방공학과,설비소방공학과,ENG,auto_high_confidence,exact_strict,,ok,False,True,False,inherited_headcount,high,False,90,495,980,52.743866,21.76709,2.1887817,83.78,65.47619,5.5555553,72.61905,5.5555553,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,
OC2024_00052,가천대학교,,스마트시티학과,스마트시티학과,ENG,auto_high_confidence,exact_strict,,ok,False,True,False,inherited_headcount,high,False,0,63,893,70.96774,9.67742,1.6129032,84.08,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,
OC2024_00053,가천대학교,,스마트시티융합학과,스마트시티융합학과,ENG,auto_high_confidence,exact_strict,,ok,False,True,False,inherited_headcount,high,False,0,74,0,64.047455,10.321236,0.75757575,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,
OC2024_00054,가천대학교,,식품생명공학과,식품생명공학과,ENG,manual_pending,manual_pending,multiple_fuzzy_or_conflict,manual_match_pending,True,False,False,keyword_rule,medium,False,,,,53.083344,21.177528,1.3664038,84.4,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,structure_unresolved,
OC2024_00055,가천대학교,,식품생물공학과,식품생물공학과,NAT,auto_high_confidence,exact_strict,,ok,False,True,False,inherited_headcount,high,False,57,90,0,74.02568,7.6473236,0.0,,51.162792,24.561403,69.76744,24.561403,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,
OC2024_00056,가천대학교,,식품영양학과,식품영양학과,NAT,auto_high_confidence,exact_strict,,ok,False,True,False,inherited_headcount,high,False,65,304,969,58.876442,11.822051,0.9795338,84.25,58.0,13.846154,64.0,13.846154,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,
OC2024_00057,가천대학교,,신소재공학과,신소재공학과,ENG,auto_high_confidence,exact_strict,,ok,False,True,False,inherited_headcount,high,False,14,298,961,41.209984,26.728895,2.393586,81.4,57.142857,35.714287,71.42857,35.714287,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,
OC2024_00058,가천대학교,,실내건축학전공,실내건축학전공,ENG,auto_high_confidence,exact_strict,,ok,False,True,False,inherited_headcount,high,False,26,180,0,57.292507,10.7382,2.2607563,,57.692307,0.0,69.23077,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,
OC2024_00059,가천대학교,,심리학과,심리학과,SOC,manual_pending,manual_pending,multiple_fuzzy_or_conflict,manual_match_pending,True,False,False,keyword_rule,medium,False,,,,57.09657,17.607069,2.374191,83.05,63.636364,33.333332,90.90909,33.333332,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,structure_unresolved,
OC2024_00060,가천대학교,,약학과 | 약학과(2+4학제),약학과약학과24학제,MED,manual_pending,manual_pending,multiple_candidates,manual_match_pending,True,False,False,exact_dictionary,medium,False,,,,61.48207,19.109566,0.0,96.85,96.0,12.5,96.0,15.625,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,structure_unresolved,
OC2024_00061,가천대학교,,연기예술학과,연기예술학과,ART,auto_high_confidence,exact_strict,,ok,False,True,False,inherited_headcount,high,False,28,218,1765,68.351814,5.805175,0.9083935,,29.62963,0.0,74.07407,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,
