year,major,전체,취업자,실업자,비경활,employment_rate_pct,unemployment_rate_labor_force_pct,inactive_rate_pct,economic_activity_rate_pct,monthly_income_10k_krw,weekly_hours,firm_300plus_share_pct,firm_1000plus_share_pct,regular_employee_share_pct,temporary_daily_share_pct,private_company_share_pct,public_education_research_share_pct,manufacturing_share_pct,professional_science_tech_share_pct,education_service_share_pct,health_welfare_share_pct,information_communication_share_pct,research_engineering_job_share_pct,business_finance_job_share_pct,health_medical_job_share_pct,education_law_social_public_job_share_pct,arts_design_sports_job_share_pct
2014,의약,46396.0,39864.0,2010.0,4520.0,85.9212001034572,4.800114629603095,9.742219156823865,90.25347012673505,219.3,47.2,34.7,20.4,88.6,10.299999999999999,76.8,9.2,4.8,1.3,2.3,81.9,0.7,,,,,
2014,인문,44034.0,29941.0,3899.0,10193.0,67.99518553844757,11.521867612293144,23.148021983013127,76.84970704455648,192.1,42.4,21.8,11.9,70.9,24.2,67.4,21.2,14.3,5.2,19.1,3.9,7.7,,,,,
2014,자연,51046.0,34585.0,3684.0,12776.0,67.75261528817146,9.626590713109827,25.02840575167496,74.96963523096815,196.4,44.5,19.1,10.1,72.8,22.1,72.8,20.9,17.4,8.4,16.1,4.1,2.6,,,,,
2015,공학,121282.0,91325.0,8427.0,21529.0,75.29971471446711,8.447950918277328,17.751191438135915,82.24798403720254,232.0,46.1,27.0,16.0,85.4,11.299999999999999,78.4,15.5,33.8,10.0,7.9,0.8,11.5,,,,,
2015,교육,30178.0,23281.0,731.0,6164.0,77.14560275697528,3.044311177744461,20.425475511962357,79.56789714361456,202.8,41.3,4.6,2.5,85.7,11.9,40.9,52.1,1.8,0.4,65.8,19.7,1.0,,,,,
2015,사회,146456.0,108621.0,11269.0,26565.0,74.16630250723767,9.399449495370757,18.13855355874802,81.86076364232261,208.7,44.1,20.0,10.0,79.6,15.700000000000001,69.2,18.599999999999998,13.8,8.2,7.9,11.6,5.2,,,,,
2015,예체능,68094.0,48258.0,5831.0,14003.0,70.86968014803067,10.780380484017083,20.564220048756134,79.43284283490469,172.0,40.2,10.2,4.6,65.1,25.5,77.8,12.6,13.2,8.2,20.7,3.4,9.0,,,,,
2015,의약,48104.0,40777.0,1313.0,6013.0,84.76841842674206,3.119505820860062,12.5,87.49792117079662,220.1,46.1,34.7,18.6,89.9,9.4,69.2,12.9,5.0,1.0,2.1,80.3,0.4,,,,,
2015,인문,47533.0,33053.0,3763.0,10716.0,69.53695327456715,10.22109952194698,22.544337618075865,77.4535585803547,187.2,42.1,19.8,10.0,73.1,22.3,68.7,18.9,11.7,6.5,20.2,3.0,9.2,,,,,
2015,자연,53670.0,35629.0,3965.0,14075.0,66.38531768213154,10.014143557104612,26.225079187628097,73.77305757406373,194.9,44.5,21.4,9.8,76.4,18.4,66.8,23.299999999999997,18.3,8.9,16.7,3.0,2.5,,,,,
