topic_id,topic_name,year,rows
GOMS_033,전공계열별 주당 평균 근로시간,2011,8
GOMS_033,전공계열별 주당 평균 근로시간,2012,8
GOMS_033,전공계열별 주당 평균 근로시간,2013,8
GOMS_033,전공계열별 주당 평균 근로시간,2014,8
GOMS_033,전공계열별 주당 평균 근로시간,2015,8
GOMS_033,전공계열별 주당 평균 근로시간,2016,8
GOMS_033,전공계열별 주당 평균 근로시간,2017,8
GOMS_033,전공계열별 주당 평균 근로시간,2018,8
GOMS_033,전공계열별 주당 평균 근로시간,2019,8
GOMS_034,산업별 주당 평균 근로시간,2007,22
GOMS_034,산업별 주당 평균 근로시간,2008,22
GOMS_034,산업별 주당 평균 근로시간,2009,22
GOMS_034,산업별 주당 평균 근로시간,2010,22
GOMS_034,산업별 주당 평균 근로시간,2011,22
GOMS_034,산업별 주당 평균 근로시간,2012,22
GOMS_034,산업별 주당 평균 근로시간,2013,22
GOMS_034,산업별 주당 평균 근로시간,2014,22
GOMS_034,산업별 주당 평균 근로시간,2015,22
GOMS_034,산업별 주당 평균 근로시간,2016,22
GOMS_034,산업별 주당 평균 근로시간,2017,22
GOMS_034,산업별 주당 평균 근로시간,2018,22
GOMS_034,산업별 주당 평균 근로시간,2019,22
GOMS_035,직업별 주당 평균 근로시간(~2016),2007,25
GOMS_035,직업별 주당 평균 근로시간(~2016),2008,25
GOMS_035,직업별 주당 평균 근로시간(~2016),2009,25
GOMS_035,직업별 주당 평균 근로시간(~2016),2010,25
GOMS_035,직업별 주당 평균 근로시간(~2016),2011,25
GOMS_035,직업별 주당 평균 근로시간(~2016),2012,25
GOMS_035,직업별 주당 평균 근로시간(~2016),2013,25
GOMS_035,직업별 주당 평균 근로시간(~2016),2014,25
GOMS_035,직업별 주당 평균 근로시간(~2016),2015,25
GOMS_035,직업별 주당 평균 근로시간(~2016),2016,25
GOMS_036,직업별 주당 평균 근로시간(2017~),2017,11
GOMS_036,직업별 주당 평균 근로시간(2017~),2018,11
GOMS_036,직업별 주당 평균 근로시간(2017~),2019,11
GOMS_037,사업체 규모별 주당 평균 근로시간,2007,10
GOMS_037,사업체 규모별 주당 평균 근로시간,2008,10
GOMS_037,사업체 규모별 주당 평균 근로시간,2009,10
GOMS_037,사업체 규모별 주당 평균 근로시간,2010,10
GOMS_037,사업체 규모별 주당 평균 근로시간,2011,10
GOMS_037,사업체 규모별 주당 평균 근로시간,2012,10
GOMS_037,사업체 규모별 주당 평균 근로시간,2013,10
GOMS_037,사업체 규모별 주당 평균 근로시간,2014,10
GOMS_037,사업체 규모별 주당 평균 근로시간,2015,10
GOMS_037,사업체 규모별 주당 평균 근로시간,2016,10
GOMS_037,사업체 규모별 주당 평균 근로시간,2017,10
GOMS_037,사업체 규모별 주당 평균 근로시간,2018,10
GOMS_037,사업체 규모별 주당 평균 근로시간,2019,10
GOMS_038,사업체 유형별 주당 평균 근로시간,2007,10
GOMS_038,사업체 유형별 주당 평균 근로시간,2008,10
GOMS_038,사업체 유형별 주당 평균 근로시간,2009,10
GOMS_038,사업체 유형별 주당 평균 근로시간,2010,10
GOMS_038,사업체 유형별 주당 평균 근로시간,2011,10
GOMS_038,사업체 유형별 주당 평균 근로시간,2012,10
GOMS_038,사업체 유형별 주당 평균 근로시간,2013,10
GOMS_038,사업체 유형별 주당 평균 근로시간,2014,10
GOMS_038,사업체 유형별 주당 평균 근로시간,2015,10
GOMS_038,사업체 유형별 주당 평균 근로시간,2016,10
GOMS_038,사업체 유형별 주당 평균 근로시간,2017,10
GOMS_038,사업체 유형별 주당 평균 근로시간,2018,10
GOMS_038,사업체 유형별 주당 평균 근로시간,2019,10
GOMS_039,종사상지위별 주당 평균 근로시간,2007,7
GOMS_039,종사상지위별 주당 평균 근로시간,2008,7
GOMS_039,종사상지위별 주당 평균 근로시간,2009,7
GOMS_039,종사상지위별 주당 평균 근로시간,2010,7
GOMS_039,종사상지위별 주당 평균 근로시간,2011,7
GOMS_039,종사상지위별 주당 평균 근로시간,2012,7
GOMS_039,종사상지위별 주당 평균 근로시간,2013,7
GOMS_039,종사상지위별 주당 평균 근로시간,2014,7
GOMS_039,종사상지위별 주당 평균 근로시간,2015,7
GOMS_039,종사상지위별 주당 평균 근로시간,2016,7
GOMS_039,종사상지위별 주당 평균 근로시간,2017,7
GOMS_039,종사상지위별 주당 평균 근로시간,2018,7
GOMS_039,종사상지위별 주당 평균 근로시간,2019,7
