column,missing,zero_count,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
졸업자_박사_계,0,12077,15727.0,1.1521587079544733,4.40006882159091,0.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,142.0
졸업자_박사_남,0,12957,15727.0,0.6652889934507534,2.9548736383023675,0.0,0.0,0.0,0.0,0.0,0.0,3.6999999999989086,12.0,130.0
졸업자_박사_여,0,13340,15727.0,0.48686971450371974,2.034189497219171,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,58.0
전임교원_계,0,10737,15727.0,2.7419724041457365,13.797902059177138,0.0,0.0,0.0,0.0,0.0,3.0,11.0,30.0,903.0
전임교원_남,0,11124,15727.0,1.9989826413174796,9.997424263606144,0.0,0.0,0.0,0.0,0.0,1.0,9.0,24.0,622.0
전임교원_여,0,12410,15727.0,0.7429897628282571,4.270197904672428,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,281.0
비전임교원_계,0,9304,15727.0,4.078400203471737,15.33301607480464,0.0,0.0,0.0,0.0,0.0,4.0,19.0,45.0,854.0
비전임교원_남,0,10055,15727.0,2.4024289438545177,10.099057980726524,0.0,0.0,0.0,0.0,0.0,2.0,11.0,27.0,565.0
비전임교원_여,0,11269,15727.0,1.6759712596172187,6.327524409227599,0.0,0.0,0.0,0.0,0.0,1.0,9.0,25.0,305.0
대학원구분_clean,0,8260,15727.0,0.4747885801487887,0.49937985655328926,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
