topic_id,topic_group,topic_name,classification_version,dimension_value,year,measure_type,value
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,전체,2016,mean_income_or_hours,217.0
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,인문,2016,mean_income_or_hours,196.9
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,사회,2016,mean_income_or_hours,219.0
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,교육,2016,mean_income_or_hours,204.6
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,공학,2016,mean_income_or_hours,242.8
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,자연,2016,mean_income_or_hours,204.5
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,의약,2016,mean_income_or_hours,233.1
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,예체능,2016,mean_income_or_hours,175.6
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,전체,2017,mean_income_or_hours,227.2
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,인문,2017,mean_income_or_hours,204.1
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,사회,2017,mean_income_or_hours,233.6
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,교육,2017,mean_income_or_hours,213.3
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,공학,2017,mean_income_or_hours,247.5
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,자연,2017,mean_income_or_hours,220.7
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,의약,2017,mean_income_or_hours,248.7
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,예체능,2017,mean_income_or_hours,182.5
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,전체,2018,mean_income_or_hours,235.7
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,인문,2018,mean_income_or_hours,212.5
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,사회,2018,mean_income_or_hours,238.2
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,교육,2018,mean_income_or_hours,217.8
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,공학,2018,mean_income_or_hours,257.6
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,자연,2018,mean_income_or_hours,228.1
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,의약,2018,mean_income_or_hours,264.5
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,예체능,2018,mean_income_or_hours,195.0
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,전체,2019,mean_income_or_hours,242.6
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,인문,2019,mean_income_or_hours,269.8
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,사회,2019,mean_income_or_hours,234.6
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,교육,2019,mean_income_or_hours,221.8
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,공학,2019,mean_income_or_hours,260.6
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,자연,2019,mean_income_or_hours,225.2
