outcome_row_id,headcount_row_id,match_method,match_score,candidate_count,review_needed,match_evidence,candidate_preview,headcount_match_flag,school_name_raw,school_name_std,campus_name_raw,campus_name_std,campus_seq,campus_branch,dept_name_raw,dept_name_std,dept_field_raw,hc_headcount_row_id,hc_school_name_raw,hc_school_name_std,hc_campus_name_raw,hc_campus_name_std,hc_campus_seq,hc_campus_branch,hc_dept_name_raw,hc_dept_name_std,hc_major_group_raw,hc_major_group_7,school_std_match,campus_scope_ok,dept_alt_contains_hc,exact_normalized_validation,sample_group
OC2024_09771,HC2024_12903,exact_normalized,1.0,1,False,school_std + optional campus + normalized department exact unique,인공지능,True,한신대학교,한신대학교,,unknown,,,인공지능,인공지능,인공지능,HC2024_12903,한신대학교,한신대학교,본교(제1캠퍼스),본교_제1캠퍼스,제1캠퍼스,본교,인공지능,인공지능,공학계열,ENG,True,True,True,True,exact_normalized
OC2024_09535,HC2024_12480,exact_normalized,1.0,1,False,school_std + optional campus + normalized department exact unique,영상제작학과,True,한라대학교,한라대학교,,unknown,,,영상제작학과,영상제작학과,영상제작,HC2024_12480,한라대학교,한라대학교,본교(제1캠퍼스),본교_제1캠퍼스,제1캠퍼스,본교,영상제작학과,영상제작학과,예체능계열,ART,True,True,True,True,exact_normalized
OC2024_03704,,manual_review,1.0,2,True,multiple exact normalized candidates; campus not sufficiently decisive,텍스타일디자인전공 | 텍스타일디자인학과,False,덕성여자대학교,덕성여자대학교,,unknown,,,텍스타일디자인학과 | 텍스타일디자인전공,텍스타일디자인학과텍스타일디자인전공,텍스타일디자인,,,,,,,,,,,,,True,False,,manual_review
OC2024_00271,,manual_review,1.0,2,True,multiple exact normalized candidates; campus not sufficiently decisive,건축학과(5) | 건축학과(5),False,강원대학교,강원대학교,,unknown,,,건축학과(5),건축학과5,건축,,,,,,,,,,,,,True,False,,manual_review
OC2024_07204,,manual_review,1.0,2,True,multiple exact normalized candidates; campus not sufficiently decisive,생명과학과 | 생명과학부,False,울산과학기술원,울산과학기술원,,unknown,,,생명과학부 | 생명과학과,생명과학부생명과학과,생명과,,,,,,,,,,,,,True,False,,manual_review
OC2024_06991,,manual_review,1.0,2,True,multiple exact normalized candidates; campus not sufficiently decisive,글로벌학부 | 글로벌학부,False,영산대학교(해운대),영산대학교,해운대,해운대,,,글로벌학부,글로벌학부,글로벌,,,,,,,,,,,,,True,False,,manual_review
OC2024_07014,,manual_review,1.0,2,True,multiple exact normalized candidates; campus not sufficiently decisive,일본비즈니스학과 | 일본비즈니스학과,False,영산대학교(해운대),영산대학교,해운대,해운대,,,일본비즈니스학과,일본비즈니스학과,일본비즈니스,,,,,,,,,,,,,True,False,,manual_review
OC2024_02328,,manual_review,1.0,2,True,multiple exact normalized candidates; campus not sufficiently decisive,약학과(6년제) | 약학과(2+4학제),False,국립목포대학교,목포대학교,,unknown,,,약학과(2+4학제) | 약학과(6년제),약학과24학제약학과6년제,약,,,,,,,,,,,,,True,False,,manual_review
OC2024_02906,,manual_review,1.0,3,True,multiple exact normalized candidates; campus not sufficiently decisive,경찰소방학부(경찰행정전공) | 경찰소방학과 | 경찰소방학부(소방학전공),False,김천대학교,김천대학교,,unknown,,,경찰소방학과 | 경찰소방학부(경찰행정전공) | 경찰소방학부(소방학전공),경찰소방학과경찰소방학부경찰행정전공경찰소방학부소방학전공,경찰소방,,,,,,,,,,,,,True,False,,manual_review
OC2024_08641,,manual_review,1.0,2,True,multiple exact normalized candidates; campus not sufficiently decisive,초등교육학과 | 초등교육학과(심화과정),False,청주교육대학교,청주교육대학교,,unknown,,,초등교육학과(심화과정),초등교육학과심화과정,초등교육,,,,,,,,,,,,,True,False,,manual_review
OC2024_07023,,manual_review,1.0,2,True,multiple exact normalized candidates; campus not sufficiently decisive,해운항만경영학과 | 해운항만경영학과,False,영산대학교(해운대),영산대학교,해운대,해운대,,,해운항만경영학과,해운항만경영학과,해운항만경영,,,,,,,,,,,,,True,False,,manual_review
OC2024_00287,,manual_review,1.0,2,True,multiple exact normalized candidates; campus not sufficiently decisive,글로벌비즈니스전공 | 글로벌비즈니스학과,False,강원대학교,강원대학교,,unknown,,,글로벌비즈니스학과 | 글로벌비즈니스전공 | 글로벌비즈니스전공,글로벌비즈니스학과글로벌비즈니스전공글로벌비즈니스전공,글로벌비즈니스,,,,,,,,,,,,,True,False,,manual_review
OC2024_02717,,manual_review,1.0,2,True,multiple exact normalized candidates; campus not sufficiently decisive,"해양과학융합학부(해양생물공학전공, 수산바이오공학전공) | 해양과학융합학부(해양환경학전공)",False,국립한국해양대학교,한국해양대학교,,unknown,,,"해양과학융합학부(수산바이오공학전공) | 해양과학융합학부(해양생물공학전공) | 해양과학융합학부(해양생물공학전공, 수산바이오공학전공) | 해양과학융합학부(해양환경학전공) | 해양과학융합학부(수산바이오공학전공) | 해양과학융합학부(해양생물공학전공) | 해양과학융합학부(해양환경학전공)",해양과학융합학부수산바이오공학전공해양과학융합학부해양생물공학전공해양과학융합학부해양생물공학전공수산바이오공학전공해양과학융합학부해양환경학전공해양과학융합학부수산바이오공학전공해양과학융합학부해양생물공학전공해양과학융합학부해양환경학전공,해양과학융합,,,,,,,,,,,,,True,False,,manual_review
OC2024_05826,,manual_review,1.0,3,True,multiple exact normalized candidates; campus not sufficiently decisive,경영학과 | 경영학부 | 경영학부,False,성신여자대학교,성신여자대학교,,unknown,,,경영학과 | 경영학부,경영학과경영학부,경영,,,,,,,,,,,,,True,False,,manual_review
OC2024_04873,,manual_review,1.0,2,True,multiple exact normalized candidates; campus not sufficiently decisive,제약학전공 | 제약학전공(통합6년제),False,부산대학교,부산대학교,,unknown,,,제약학전공 | 제약학전공(통합6년제),제약학전공제약학전공통합6년제,제약학,,,,,,,,,,,,,True,False,,manual_review
OC2024_05852,,manual_review,1.0,2,True,multiple exact normalized candidates; campus not sufficiently decisive,서양화과 | 서양화과,False,성신여자대학교,성신여자대학교,,unknown,,,서양화과,서양화과,서양화과,,,,,,,,,,,,,True,False,,manual_review
OC2024_05339,,manual_review,1.0,2,True,multiple exact normalized candidates; campus not sufficiently decisive,간호학과 | 간호학과,False,서울대학교,서울대학교,,unknown,,,간호학과,간호학과,간호,,,,,,,,,,,,,True,False,,manual_review
OC2024_03246,,manual_review,1.0,2,True,multiple exact normalized candidates; campus not sufficiently decisive,제약학전공 | 제약학전공(6년제),False,대구가톨릭대학교,대구가톨릭대학교,,unknown,,,제약학전공 | 제약학전공(6년제),제약학전공제약학전공6년제,제약학,,,,,,,,,,,,,True,False,,manual_review
