outcome_row_id,candidate_headcount_row_ids,candidate_preview,match_method,unmatched_reason,match_evidence,candidate_count,reviewer,review_timestamp,selection,selection_rationale,confidence
OC2024_00690,HC2_2024_07980|HC2_2024_08104,국어국문학과 | 국어국문학과,manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00694,HC2_2024_08048|HC2_2024_08049,기계시스템공학부 | 기계시스템공학과,manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00701,HC2_2024_08013|HC2_2024_08121,법학과 | 법학과,manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00712,HC2_2024_08093,시큐리티매니지먼트학과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00715,HC2_2024_07985|HC2_2024_08105,영어영문학과 | 영어영문학과,manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00721,HC2_2024_08050|HC2_2024_08051,전자공학과 | 전자공학부,manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00730,HC2_2024_08029|HC2_2024_08122,행정학과 | 행정학과,manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00734,HC2_2024_08009|HC2_2024_08120,회계세무?경영정보학부 | 회계세무?경영정보학부,manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00748,HC2_2024_08125,외식조리?관광서비스학과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00776,HC2_2024_06340,인테리어재료공학과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00781,HC2_2024_06341,제약공학과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00783,HC2_2024_06329|HC2_2024_06330|HC2_2024_06331,컴퓨터공학과 | 컴퓨터공학부(빅데이터전공) | 컴퓨터공학부(컴퓨터소프트웨어전공),manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",3,,,,,
OC2024_00797,HC2_2024_08291|HC2_2024_08292,경영학과 | 경영학부,manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00801,HC2_2024_08379,경호보안학과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00834,HC2_2024_08286,심리학과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
