row_type,sample_id,target,group,N,mean,std,min,p01,p05,p25,median,p75,p95,p99,max,zero_ratio,hundred_ratio,skewness,school_icc
major_zero_ratio,P2_SELECTIVITY_READY,graduate_school_progression_rate_pct,ENG,501,,,,,,,,,,,,0.16167664670658682,,,
major_zero_ratio,P2_SELECTIVITY_READY,graduate_school_progression_rate_pct,HUM,320,,,,,,,,,,,,0.290625,,,
major_zero_ratio,P2_SELECTIVITY_READY,graduate_school_progression_rate_pct,MED,201,,,,,,,,,,,,0.6766169154228856,,,
major_zero_ratio,P2_SELECTIVITY_READY,graduate_school_progression_rate_pct,NAT,375,,,,,,,,,,,,0.08,,,
major_zero_ratio,P2_SELECTIVITY_READY,graduate_school_progression_rate_pct,SOC,451,,,,,,,,,,,,0.4611973392461197,,,
split_distribution,P2_SELECTIVITY_READY,graduate_school_progression_rate_pct,test,255,10.736871719360352,14.350931167602539,,,,,4.0,,,,,0.34901960784313724,,,
split_distribution,P2_SELECTIVITY_READY,graduate_school_progression_rate_pct,train,1756,9.439096450805664,13.106488227844238,,,,,3.846153736114502,,,,,0.34851936218678814,,,
split_distribution,P2_SELECTIVITY_READY,graduate_school_progression_rate_pct,val,365,8.980328559875488,12.892254829406738,,,,,3.3333332538604736,,,,,0.3726027397260274,,,
overall,P3_STRUCTURE_READY,a_rate_pct,ALL,7592,41.6644401550293,14.373114585876465,0.0,3.5568181586265557,22.824521446228026,32.89345741271973,39.572113037109375,48.57143020629883,69.22355995178222,83.99148124694824,100.0,0.008825079030558482,0.0025026343519494202,0.6304047107696533,0.5325480699539185
major_zero_ratio,P3_STRUCTURE_READY,a_rate_pct,ART,1107,,,,,,,,,,,,0.0036133694670280035,,,
major_zero_ratio,P3_STRUCTURE_READY,a_rate_pct,EDU,661,,,,,,,,,,,,0.0030257186081694403,,,
major_zero_ratio,P3_STRUCTURE_READY,a_rate_pct,ENG,1940,,,,,,,,,,,,0.009278350515463918,,,
major_zero_ratio,P3_STRUCTURE_READY,a_rate_pct,HUM,876,,,,,,,,,,,,0.01141552511415525,,,
major_zero_ratio,P3_STRUCTURE_READY,a_rate_pct,MED,499,,,,,,,,,,,,0.012024048096192385,,,
major_zero_ratio,P3_STRUCTURE_READY,a_rate_pct,NAT,950,,,,,,,,,,,,0.01263157894736842,,,
major_zero_ratio,P3_STRUCTURE_READY,a_rate_pct,SOC,1559,,,,,,,,,,,,0.009621552277100705,,,
split_distribution,P3_STRUCTURE_READY,a_rate_pct,test,890,41.08157730102539,13.642128944396973,,,,,39.522071838378906,,,,,0.0033707865168539327,,,
split_distribution,P3_STRUCTURE_READY,a_rate_pct,train,5534,41.905975341796875,14.487692832946777,,,,,39.779788970947266,,,,,0.0093964582580412,,,
split_distribution,P3_STRUCTURE_READY,a_rate_pct,val,1168,40.964168548583984,14.346982955932617,,,,,38.60919189453125,,,,,0.010273972602739725,,,
overall,P3_STRUCTURE_READY,health_employment_rate_pct,ALL,5600,52.6941032409668,17.51350975036621,0.0,11.11111068725586,23.076923370361328,41.66666793823242,52.94117736816406,63.6363639831543,82.22325973510742,96.51202819824219,100.0,0.0035714285714285713,0.007321428571428572,-0.00023164245067164302,0.21491672098636627
major_zero_ratio,P3_STRUCTURE_READY,health_employment_rate_pct,ART,789,,,,,,,,,,,,0.0063371356147021544,,,
major_zero_ratio,P3_STRUCTURE_READY,health_employment_rate_pct,EDU,630,,,,,,,,,,,,0.004761904761904762,,,
major_zero_ratio,P3_STRUCTURE_READY,health_employment_rate_pct,ENG,1281,,,,,,,,,,,,0.00234192037470726,,,
major_zero_ratio,P3_STRUCTURE_READY,health_employment_rate_pct,HUM,670,,,,,,,,,,,,0.0029850746268656717,,,
major_zero_ratio,P3_STRUCTURE_READY,health_employment_rate_pct,MED,392,,,,,,,,,,,,0.0,,,
major_zero_ratio,P3_STRUCTURE_READY,health_employment_rate_pct,NAT,719,,,,,,,,,,,,0.009735744089012517,,,
major_zero_ratio,P3_STRUCTURE_READY,health_employment_rate_pct,SOC,1119,,,,,,,,,,,,0.0,,,
split_distribution,P3_STRUCTURE_READY,health_employment_rate_pct,test,649,53.309383392333984,17.91356086730957,,,,,54.054054260253906,,,,,0.0015408320493066256,,,
split_distribution,P3_STRUCTURE_READY,health_employment_rate_pct,train,4080,52.58283233642578,17.24310874938965,,,,,52.727272033691406,,,,,0.00392156862745098,,,
split_distribution,P3_STRUCTURE_READY,health_employment_rate_pct,val,871,52.756866455078125,18.45512580871582,,,,,53.57143020629883,,,,,0.003444316877152698,,,
overall,P3_STRUCTURE_READY,graduate_school_progression_rate_pct,ALL,5674,8.254615783691406,12.895549774169922,0.0,0.0,0.0,0.0,2.777777671813965,11.11111068725586,35.77838840484609,57.746962814330956,100.0,0.4127599577017977,0.00035248501938667606,2.4252116680145264,1.3850051164627075
major_zero_ratio,P3_STRUCTURE_READY,graduate_school_progression_rate_pct,ART,790,,,,,,,,,,,,0.41139240506329117,,,
major_zero_ratio,P3_STRUCTURE_READY,graduate_school_progression_rate_pct,EDU,640,,,,,,,,,,,,0.678125,,,
major_zero_ratio,P3_STRUCTURE_READY,graduate_school_progression_rate_pct,ENG,1282,,,,,,,,,,,,0.25585023400936036,,,
major_zero_ratio,P3_STRUCTURE_READY,graduate_school_progression_rate_pct,HUM,722,,,,,,,,,,,,0.3656509695290859,,,
major_zero_ratio,P3_STRUCTURE_READY,graduate_school_progression_rate_pct,MED,392,,,,,,,,,,,,0.6913265306122449,,,
major_zero_ratio,P3_STRUCTURE_READY,graduate_school_progression_rate_pct,NAT,720,,,,,,,,,,,,0.12361111111111112,,,
major_zero_ratio,P3_STRUCTURE_READY,graduate_school_progression_rate_pct,SOC,1128,,,,,,,,,,,,0.5593971631205674,,,
split_distribution,P3_STRUCTURE_READY,graduate_school_progression_rate_pct,test,661,7.489456653594971,12.00692367553711,,,,,1.7241379022598267,,,,,0.46142208774583965,,,
split_distribution,P3_STRUCTURE_READY,graduate_school_progression_rate_pct,train,4129,8.140165328979492,12.684709548950195,,,,,2.857142925262451,,,,,0.4085735044805038,,,
split_distribution,P3_STRUCTURE_READY,graduate_school_progression_rate_pct,val,884,9.361333847045898,14.377068519592285,,,,,3.3333332538604736,,,,,0.39592760180995473,,,
